번호,금융용어,정의,비유,왜 중요?,오해 교정,예시
,경직적 물가지수,경기 변동에도 쉽게 변하지 않는 가격의 물가지수,‘움직이지 않는 온도계’,물가 안정성과 정책 대응력 분석에 도움,물가상승률이 낮아도 생활비 부담이 커질 수 있음,임대료나 공공요금은 경직적 물가 항목에 속한다.
,계절변동조정시계열,계절적 요인을 제거하여 순수한 추세만을 보여주는 시계열,‘계절옷을 벗긴 데이터’,정확한 경기 흐름 분석 가능,계절효과를 없애도 단기 충격은 여전함,통계청은 매달 계절조정 실업률을 별도로 발표한다.
,계좌대체,은행 내 예금 계좌 간 자금을 이체하는 거래,‘한 통장에서 다른 통장으로 옮기기’,금융결제 효율성과 보안 관리에 중요,외부 송금과 혼동 금지,급여 계좌에서 적금 계좌로 자금을 계좌대체했다.
,고용률,일정 연령 인구 중 취업자의 비율,‘일하는 사람의 비중’,경제 활력과 생산성 평가의 기본 지표,실업률과 반대 개념이 아님,고용률 상승은 경기 회복 신호로 해석된다.
,고용보조지표,실업률로 포착되지 않는 불완전고용 상태를 보완하는 지표,‘숨은 실업자 탐지기’,노동시장의 실제 상황을 보다 정밀하게 분석,실업률보다 높다고 해서 위기라는 뜻은 아님,한국의 고용보조지표3은 청년층 구직단념자를 포함한다.
,고용유발효과,산업의 생산 증가가 고용 창출에 미치는 효과,‘경제 성장의 일자리 탄성’,산업정책과 투자 타당성 평가에 중요,단순 일자리 수만 보는 것이 아님 — 질도 중요,건설업은 고용유발효과가 높은 대표 산업이다.
,취업유발효과,정부 지출이나 투자가 추가 취업자 수를 얼마나 늘리는지를 나타내는 효과,‘정책의 일자리 창출 능력’,경기부양정책의 효율성 평가에 사용,단기 고용만 보면 장기효과를 과대평가할 수 있음,정부의 인프라 투자로 1조 원당 1만 명의 취업유발효과가 발생했다.
,고정금리,대출·채권 등의 금리가 일정 기간 변하지 않는 금리,‘고정된 계약서 이자율’,금리 변동 위험을 줄이는 수단,금리가 하락할 때는 불리할 수 있음,고정금리 대출은 금리 상승기에 유리하다.
,고정금리부채권,발행 시 정해진 이자율이 만기까지 변하지 않는 채권,‘변하지 않는 이자 약속서’,예측 가능한 수익을 원하는 투자자에게 적합,물가상승기에는 실질수익률이 낮아짐,3년 만기 고정금리부채권의 쿠폰이 연 3%로 고정되어 있다.
,SB,발행 시 정해진 이자율이 만기까지 변하지 않는 채권,‘변하지 않는 이자 약속서’,예측 가능한 수익을 원하는 투자자에게 적합,물가상승기에는 실질수익률이 낮아짐,3년 만기 고정금리부채권의 쿠폰이 연 3%로 고정되어 있다.
,고정분류여신,"부실 위험이 일정 수준 이상인 여신으로, 정상보다 한 단계 낮은 등급",‘주의가 필요한 대출’,금융기관의 건전성 관리 핵심,전액 손실로 오해하면 안 됨 — 회수 가능성 일부 존재,연체가 3개월 이상인 대출은 고정분류여신으로 분류된다.
,고정이하여신비율,고정·회수의문·추정손실·손실 등 부실여신이 전체 여신에서 차지하는 비율,‘문제 대출 비율’,금융권 건전성 평가 핵심 지표,비율이 낮아도 대형부실이 있으면 위험,은행의 고정이하여신비율이 1% 아래로 떨어지면 건전하다고 평가된다.
,고정자본소모,기계·건물 등 생산설비의 감가상각에 해당하는 자본 감소분,‘기계의 마모 비용’,순투자 산정과 GDP 계산에 필요,회계상 비용이지 현금 유출은 아님,고정자본소모는 국민계정에서 총투자에서 차감된다.
,고정투자,건물·기계 등 고정자산에 대한 투자,‘공장의 몸집 늘리기’,경제 성장의 기초가 되는 생산능력 확충,단기소비보다 경기 반응이 느림,제조업 고정투자가 늘면 향후 생산성 향상이 기대된다.
,고정자산회전율,기업이 보유한 고정자산이 매출로 전환되는 효율성 지표,‘자산 활용 속도계’,경영 효율성 판단 지표,절대적으로 높다고 좋은 건 아님 — 과잉투자 가능성,고정자산회전율이 높을수록 설비 활용도가 높은 것으로 본다.
,공정가치,자산이나 부채의 현재 시장가격을 반영한 가치,‘시장가격 기준의 현실 가치’,기업 회계의 투명성과 투자 판단 향상,장부가치와 혼동 금지,IFRS는 자산을 공정가치로 평가하도록 규정한다.
,공정거래,경쟁이 왜곡되지 않도록 기업 간 공정한 거래를 보장하는 제도,‘룰이 있는 경기장’,소비자 보호와 시장 효율성 확보,경쟁 제한과 구별 필요,담합 방지를 위한 공정거래법이 시행되고 있다.
,공정거래위원회,"독립된 행정기관으로, 시장의 공정한 경쟁 질서를 감시·규제",‘시장 심판관’,기업 간 담합·불공정행위 방지,기업 활동을 억제하는 기관이 아님,공정거래위원회는 대기업의 하도급 갑질을 제재했다.
,공적자금,금융위기 등으로 부실 금융기관을 지원하기 위해 정부가 투입하는 자금,‘국민의 세금으로 만든 안전망’,금융시스템 붕괴 방지,기업 구제금융이 아니라 시스템 안정 목적,IMF 외환위기 당시 정부는 공적자금을 투입해 은행을 살렸다.
,공적연금,국민이 노후소득을 보장받기 위해 국가가 운영하는 사회보장제도,‘국가가 운영하는 노후보험’,노후 빈곤 방지와 사회안전망 구축,개인연금과 구별 필요,"국민연금, 공무원연금, 군인연금 등이 대표적인 공적연금이다."
,고정환율제도,정부나 중앙은행이 일정한 환율을 유지하도록 관리하는 제도,‘환율에 고정된 닻’,환율 안정과 무역 예측 가능성 확보,시장 왜곡 가능성이 있어 완전한 고정은 어려움,홍콩은 미국 달러에 연동된 고정환율제를 유지하고 있다.
,자유변동환율제도,외환시장에서 수요와 공급에 의해 환율이 자율적으로 결정되는 제도,‘파도에 맡긴 배’,시장 상황을 즉시 반영해 외환 균형 유지,정부 개입이 없다는 뜻은 아님,미국은 대표적인 자유변동환율제도를 운영하고 있다.
,고통지수,실업률과 물가상승률을 합산해 국민의 경제적 고통을 나타내는 지표,‘국민 체감경제 온도계’,경기 침체와 인플레이션의 이중고를 진단,단순 합산이므로 체감과 다를 수 있음,고통지수가 높아지면 국민의 생활비 부담과 실업이 동시에 악화된다는 뜻이다.
,골디락스경제,과열도 침체도 아닌 ‘적정 성장’을 유지하는 이상적인 경제 상태,‘너무 뜨겁지도 차갑지도 않은 죽처럼’,안정적 성장과 물가 균형을 동시에 달성,일시적 현상일 수 있어 지속성 확보가 중요,미국은 1990년대에 골디락스경제를 경험했다.
,공개시장운영,중앙은행이 국채 등을 사고팔아 시중 유동성을 조절하는 정책 수단,‘돈의 수도꼭지를 여닫는 행위’,통화정책의 핵심 수단으로 금리 조절에 영향,국채 매매는 단순한 정부 재정조달과 다름,중앙은행은 공개시장운영으로 단기금리를 안정시켰다.
,공공재,"누구나 이용할 수 있고, 한 사람의 사용이 다른 사람의 사용을 줄이지 않는 재화",‘공기나 가로등 같은 것’,사회적 복지와 효율적 자원 배분에 중요,무임승차 문제 발생 가능,"국방, 치안, 도로는 대표적인 공공재다."
,공급사용표,산업 간 생산과 소비 구조를 체계적으로 나타낸 통계표,‘경제의 입출력 도표’,산업연관분석의 기초 자료,단순 거래내역이 아니라 가치 흐름을 의미,통계청의 공급사용표는 산업정책 수립에 활용된다.
,SUT,산업 간 생산과 소비 구조를 체계적으로 나타낸 통계표,‘경제의 입출력 도표’,산업연관분석의 기초 자료,단순 거래내역이 아니라 가치 흐름을 의미,통계청의 공급사용표는 산업정책 수립에 활용된다.
,공급탄력성,가격이 변할 때 공급량이 얼마나 변하는지를 나타내는 비율,‘가격에 대한 공급의 민감도’,시장의 효율성과 정책 효과 분석에 중요,단기·장기에 따라 탄력성이 달라짐,원유는 단기 공급탄력성이 매우 낮은 상품이다.
,공매도,"주식을 보유하지 않은 상태에서 빌려서 먼저 판 뒤, 나중에 되사서 갚는 거래",‘미리 파는 매매 방식’,가격 거품 억제 및 시장 효율성 확보,불공정행위로 오해되지만 제도권 내에서는 합법,기관투자자는 주가 급등 시 공매도로 차익을 실현했다.
,관리변동환율제도,정부가 일정 범위 내에서 환율 변동을 관리하는 제도,‘방향만 잡아주는 조타수’,급격한 환율 변동 완화와 외환시장 안정,완전한 시장자유 제도가 아님,한국은 관리변동환율제를 운영하며 환율 급등락을 조절한다.
,교환사채,발행회사의 주식이나 다른 회사의 주식으로 교환할 수 있는 사채,‘주식으로 바꿀 수 있는 채권’,투자자에게 선택권 제공 및 자금조달 다양화,전환사채와 구별 필요 — 발행사 다름,A사는 보유한 B사 주식과 교환 가능한 교환사채를 발행했다.
,EB,발행회사의 주식이나 다른 회사의 주식으로 교환할 수 있는 사채,‘주식으로 바꿀 수 있는 채권’,투자자에게 선택권 제공 및 자금조달 다양화,전환사채와 구별 필요 — 발행사 다름,A사는 보유한 B사 주식과 교환 가능한 교환사채를 발행했다.
,교환성 통화,자유롭게 다른 나라 통화로 교환 가능한 화폐,‘세계 어디서나 통하는 화폐 여권’,국제무역과 외환거래의 원활성 보장,교환성 통화가 곧 기축통화는 아님,원화는 부분적으로만 교환성 통화로 인정받는다.
,구매력평가환율,각국의 물가 수준을 반영해 실제 구매력이 같아지는 환율,‘빅맥 한 개 값이 같은 환율’,국가 간 실질소득 비교에 사용,실제 시장환율과 다를 수 있음,IMF는 PPP(구매력평가환율)를 이용해 GDP를 비교한다.
,구속성예금,예금자가 일정 기간 인출할 수 없도록 약정된 예금,‘잠금장치가 달린 예금통장’,금융기관의 자금 안정성과 장기운용 가능,자유입출금 예금과 혼동 금지,1년간 해지 불가한 정기예금은 구속성예금에 해당한다.
,구인배율,구직자 1명당 채용공고 수를 나타내는 비율,‘일자리 공급 대 수요 비율’,노동시장의 수급 불균형 파악,"1 이상이면 구인난, 1 미만이면 구직난",구인배율이 1.2라면 구직자보다 일자리가 더 많다는 뜻이다.
,구제금융,금융위기나 부실기업을 지원하기 위해 정부나 국제기구가 제공하는 긴급 자금,‘경제의 응급수혈’,시스템 붕괴 방지 및 신용 회복,도덕적 해이 위험 존재,IMF는 외환위기 당시 한국에 구제금융을 제공했다.
,구조적 이익률,기업의 영업환경이나 산업 구조가 안정적으로 유지될 때의 평균 이익률,‘기초 체력으로 벌 수 있는 평균 수익률’,기업 경쟁력과 지속가능성 평가,일시적 이익 증가와 구별 필요,제조업의 구조적 이익률이 높을수록 경기변동에 덜 민감하다.
,국가경쟁력지수,"각국의 경제, 제도, 인프라 등을 종합 평가해 산출한 경쟁력 지표",‘국가의 종합 성적표’,정책 효과와 투자환경 진단에 활용,단일 지표로 국가 역량 전체를 판단할 수 없음,스위스는 세계경제포럼(WEF) 국가경쟁력지수에서 1위를 차지했다.
,국가신용등급,국가가 발행한 채권을 상환할 능력을 국제 신용평가사가 평가한 등급,‘국가의 신용 성적표’,해외 투자유치와 국채금리에 직접 영향,정치적 요인에 따라 단기 변동 가능,한국은 무디스 기준 Aa2의 국가신용등급을 유지하고 있다.
,국가채무,정부가 조세로 상환해야 할 전체 부채 총액,‘정부의 빚 장부’,재정 건전성과 세대 간 부담 평가 지표,단기 부채와 공공기관 부채는 포함 기준이 다름,한국의 국가채무비율은 GDP 대비 약 50% 수준이다.
,국고금 실시간 전자이체,정부 세입·세출 자금을 실시간으로 전자적으로 이체하는 제도,‘국가 예산의 즉시 송금 시스템’,회계 투명성과 자금 운용 효율성 향상,단순 인터넷뱅킹이 아니라 중앙회계망을 통한 이체,국세 납부 시 국고금 실시간 전자이체로 즉시 입금이 완료된다.
,국고대리점,정부를 대신해 세금 수납과 지출 업무를 수행하는 금융기관,‘국가의 회계 창구’,정부 재정 집행의 효율적 운영,일반 은행 업무와 혼동 금지,시중은행은 기획재정부와 계약을 맺고 국고대리점으로 지정된다.
,국고수표,"정부가 발행한 지급 보증 수표로, 국고금 지출 시 사용",‘국가가 보증하는 수표’,공공기관 간 거래의 신뢰 확보,개인용 수표와 다름 — 현금성 낮음,공공사업 대금 지급에 국고수표가 사용되었다.
,국고전산망,정부의 세입·세출 및 자금관리 업무를 처리하는 전산시스템,‘국가 재정의 중앙 서버’,예산 집행의 신속성과 투명성 강화,일반 회계시스템과 구분됨,모든 중앙부처의 회계 처리는 국고전산망을 통해 이뤄진다.
,국내공급물가지수,국내에 공급된 상품의 가격 변동을 나타내는 지수,‘국내 생산+수입품의 물가 지표’,물가 및 경기 분석의 선행지표,소비자물가지수와 구별 필요,한국은행은 매월 국내공급물가지수를 발표한다.
,국내신용,"국내 금융기관이 정부, 기업, 가계 등에 제공한 총 신용 규모",‘경제 내 돈의 순환량’,"신용 팽창은 경기 활력, 과도하면 금융불안 유발",대출잔액만 포함되는 게 아님 — 채권 등도 포함,한국의 국내신용은 GDP의 200% 수준으로 집계된다.
,국내총생산,일정 기간 동안 한 나라 안에서 생산된 재화와 서비스의 부가가치 총합,‘한 나라의 경제 활동 총점’,경기 성장률과 소득 수준의 기본 지표,국민총소득(GNI)과 구별 필요,한국의 실질 국내총생산은 전년 대비 2.2% 성장했다.
,GDP,일정 기간 동안 한 나라 안에서 생산된 재화와 서비스의 부가가치 총합,‘한 나라의 경제 활동 총점’,경기 성장률과 소득 수준의 기본 지표,국민총소득(GNI)과 구별 필요,한국의 실질 국내총생산은 전년 대비 2.2% 성장했다.
,국내총투자율,GDP 대비 총투자액의 비율,‘경제의 재투자 비중’,생산능력 확충과 성장 잠재력 평가,높다고 항상 좋은 건 아님 — 과잉투자 위험,국내총투자율이 높으면 향후 성장 여력이 크다는 신호다.
,국민계정체계,국민경제 전체의 소득·지출·생산을 통계적으로 정리한 체계,‘국가 경제의 회계장부’,GDP·GNI 등 주요 경제지표 산출의 근거,단일 통계가 아닌 다수 표로 구성됨,국민계정체계는 국제 기준(SNA)에 따라 작성된다.
,SNA,국민경제 전체의 소득·지출·생산을 통계적으로 정리한 체계,‘국가 경제의 회계장부’,GDP·GNI 등 주요 경제지표 산출의 근거,단일 통계가 아닌 다수 표로 구성됨,국민계정체계는 국제 기준(SNA)에 따라 작성된다.
,국민대차대조표,한 나라의 자산과 부채를 집계한 국민 단위의 재무상태표,‘국가의 재무제표’,국가 부의 크기와 구조 분석에 사용,단기 유동성과 혼동하면 안 됨,국민대차대조표를 통해 부동산 자산 비중을 파악할 수 있다.
,국민부담률,조세와 사회보험료를 국민소득 대비로 나타낸 비율,‘국민이 부담하는 세금 비중’,복지 수준과 재정자립도 판단 지표,높다고 항상 나쁜 건 아님 — 복지 확충 효과도 있음,한국의 국민부담률은 OECD 평균보다 낮은 수준이다.
,국민소득,국민이 국내외에서 벌어들인 총소득,‘국민의 월급 합계’,국민의 생활수준과 경제력 평가,국내총생산과 달리 해외 소득 포함,국민소득이 증가하면 가계 소비 여력도 커진다.
,국민소득 3면 등가의 법칙,국민소득을 생산·분배·지출 측면에서 본 결과가 동일하다는 원리,‘세 갈래 길이 한 지점으로 만나는 법칙’,국민계정 작성의 기본 원리,세 가지 측면은 집계 방식만 다를 뿐 금액은 동일,생산=분배=지출 세 측면에서 계산된 국민소득은 이론적으로 동일하다.
,국민처분가능소득,조세와 이전지출을 반영한 후 국민이 자유롭게 사용할 수 있는 소득,‘실질 가계 총수입’,소비 여력과 생활수준 평가 지표,단순 GDP보다 실질적 삶의 수준 반영,국민처분가능소득이 줄면 내수 경기 위축이 발생한다.
,국민총소득,국내총생산에 해외에서 벌어들인 순소득을 더한 값,‘국민이 실제로 손에 쥔 소득’,국민의 실제 소득 수준을 반영,GDP와 구분 — 해외소득 포함 여부 차이,한국의 GNI는 1인당 약 4만 달러 수준이다.
,GNI,국내총생산에 해외에서 벌어들인 순소득을 더한 값,‘국민이 실제로 손에 쥔 소득’,국민의 실제 소득 수준을 반영,GDP와 구분 — 해외소득 포함 여부 차이,한국의 GNI는 1인당 약 4만 달러 수준이다.
,국부펀드,국가가 외환보유액 등을 운용하기 위해 설립한 투자기금,‘국가형 투자회사’,장기 재정 안정성과 세대 간 자산 이전 수단,단기 수익 추구보다는 장기 전략 운용,노르웨이 국부펀드는 세계 최대 규모의 주식투자 펀드다.
,국외순수취경상이전,해외로부터 받은 경상이전액에서 해외로 지급한 금액을 뺀 차액,‘해외에서 들어온 무상 지원의 순수익’,경상수지 구성 항목 중 하나,수출입 거래가 아닌 무상 거래임,해외 송금과 원조가 국외순수취경상이전에 포함된다.
,국외순수취요소소득,해외에서 받은 노동·자본 소득에서 해외로 지급한 소득을 뺀 차액,‘해외 일·투자에서 얻은 순이익’,GNI 산정에 포함되는 핵심 요소,무역수지와 혼동 금지,해외 배당금 수입이 국외순수취요소소득을 늘린다.
,국외저축,한 나라가 해외에 투자하거나 외화자산으로 축적한 저축,‘해외에 쌓아둔 저금통’,국제수지 흑자 지속 시 형성되는 대외자산,국내저축과 합쳐야 전체 저축 파악 가능,한국의 경상흑자는 국외저축 증가로 이어졌다.
,국제결제은행,중앙은행 간 금융협력을 위해 설립된 국제금융기구,‘중앙은행들의 은행’,글로벌 금융안정성 유지와 기준 제정,IMF와는 역할이 다름 — 감독·결제 중심,BIS는 은행 건전성 기준(BIS 비율)을 제정했다.
,BIS,중앙은행 간 금융협력을 위해 설립된 국제금융기구,‘중앙은행들의 은행’,글로벌 금융안정성 유지와 기준 제정,IMF와는 역할이 다름 — 감독·결제 중심,BIS는 은행 건전성 기준(BIS 비율)을 제정했다.
,국제금융시장,국가 간 자금이 이동·거래되는 시장,‘국경 없는 돈의 무대’,환율·금리 변동에 직접 영향,단순 외환시장보다 광의의 개념,런던과 뉴욕은 세계 최대 국제금융시장이다.
,국제금융중심지,글로벌 자금 거래와 금융 서비스가 집중된 도시,‘세계 금융의 허브’,국가 경쟁력과 외국자본 유치에 중요,단순히 은행이 많은 도시가 아님,홍콩·싱가포르·런던은 대표적 국제금융중심지다.
,국제산업연관표,국가 간 산업 간 거래 관계를 나타낸 표,‘세계 경제의 가치흐름 지도’,글로벌 공급망 분석의 핵심 도구,단순 무역통계가 아닌 산업 내 투입·산출 반영,OECD는 국제산업연관표를 활용해 GVC 구조를 분석한다.
,국제수지,일정 기간 한 나라와 세계 간의 경제거래를 기록한 통계,‘나라 간 돈의 흐름표’,대외거래 균형과 외환정책 수립의 기본,무역수지보다 범위가 넓음,"한국의 국제수지는 경상수지 흑자, 자본수지 적자를 기록했다."
,BOP,일정 기간 한 나라와 세계 간의 경제거래를 기록한 통계,‘나라 간 돈의 흐름표’,대외거래 균형과 외환정책 수립의 기본,무역수지보다 범위가 넓음,"한국의 국제수지는 경상수지 흑자, 자본수지 적자를 기록했다."
,국제수지표,국제수지 통계를 계정별로 정리한 표,‘국가 간 거래 회계장부’,국제수지 분석과 정책수립 기초자료,단순 수출입 내역이 아님,국제수지표는 경상·자본·금융계정으로 구성된다.
,국제원유가격,세계 시장에서 거래되는 원유의 가격,‘세계 에너지의 체온계’,"인플레이션, 무역수지, 환율에 영향",특정 국가의 생산비용과 혼동 금지,브렌트유와 WTI는 대표적인 국제원유가격 지표다.
,국제통화기금,국제금융안정과 환율 안정을 위해 설립된 국제기구,‘국가 간 금융안전망’,금융위기 시 긴급 자금 지원 및 정책 조언,구제금융만 제공하는 기관이 아님,IMF는 외환위기 당시 한국에 자금 지원과 구조개혁을 권고했다.
,IMF,국제금융안정과 환율 안정을 위해 설립된 국제기구,‘국가 간 금융안전망’,금융위기 시 긴급 자금 지원 및 정책 조언,구제금융만 제공하는 기관이 아님,IMF는 외환위기 당시 한국에 자금 지원과 구조개혁을 권고했다.
,국제투자대조표,한 나라의 대외자산과 대외부채를 집계한 통계표,‘국가의 해외재무상태표’,국제수지의 누적 결과를 보여줌,경상수지와 혼동 금지,한국의 순대외자산은 국제투자대조표에 의해 계산된다.
,IIP,한 나라의 대외자산과 대외부채를 집계한 통계표,‘국가의 해외재무상태표’,국제수지의 누적 결과를 보여줌,경상수지와 혼동 금지,한국의 순대외자산은 국제투자대조표에 의해 계산된다.
,국제회계기준,전 세계적으로 통일된 기업 회계기준 체계,‘글로벌 회계의 공통 언어’,기업의 투명성 제고와 해외 투자 유치,국내회계기준(K-GAAP)과 구별,한국은 2011년부터 국제회계기준을 전면 도입했다.
,국채,국가가 재정자금을 조달하기 위해 발행하는 채권,‘정부의 빚문서’,국가 신용과 금리에 직접 영향,세금 낭비가 아닌 재정운용 수단,정부는 국채 발행으로 사회간접자본 투자 재원을 마련했다.
,규모의 경제,생산량이 증가함에 따라 단위당 생산비용이 감소하는 현상,‘많이 만들수록 싸지는 구조’,산업 경쟁력과 효율성의 핵심 개념,일정 규모 이후에는 불경제 발생 가능,반도체 산업은 규모의 경제가 크게 작용하는 대표 분야다.
,규제 샌드박스,새로운 기술·서비스를 일정 기간 규제 없이 시험할 수 있는 제도,‘안전하게 실험할 수 있는 놀이터’,혁신 촉진과 신산업 성장 지원,규제를 완전히 면제하는 제도는 아님,금융위는 핀테크 기업에 규제 샌드박스 적용을 승인했다.
,그램-리치-블라일리법,"미국의 금융규제 완화법으로, 은행·보험·증권의 겸업을 허용한 법",‘금융 자유화의 문을 연 법’,금융산업 간 시너지 창출 기반 마련,규제 완화로 리스크 관리 중요성 증가,1999년 제정된 이 법은 미국 겸업금융 시대를 열었다.
,그린본드,환경·기후 관련 프로젝트 자금을 조달하기 위해 발행하는 채권,‘친환경 프로젝트 전용 채권’,ESG금융의 핵심 수단,일반 채권과 금리는 유사하지만 용도 제한 존재,한국전력은 탄소저감사업을 위해 그린본드를 발행했다.
,그림자 금융,공식 금융권 외부에서 유사한 기능을 수행하는 비은행 금융활동,‘보이지 않는 금융의 그늘’,금융위기 시 리스크 전이 통로,불법이 아니라 규제 밖의 구조,헤지펀드와 사모펀드는 대표적 그림자 금융이다.
,근원인플레이션율,일시적 요인을 제외하고 산출한 물가상승률,‘물가의 체온 중 순수 열기’,통화정책 방향 설정에 유용,일반 소비자물가지수보다 낮게 나타날 수 있음,에너지와 식품을 제외한 근원인플레이션율이 완화 추세를 보였다.
,글래스-스티걸법,미국 대공황 후 은행과 증권업을 분리한 금융안정법,‘벽을 세운 금융 규제법’,금융시스템 안정과 예금자 보호,1999년 폐지되며 겸업주의가 허용됨,글래스-스티걸법은 상업은행의 투자업무를 금지했다.
,글로벌가치사슬,제품 생산 과정이 여러 국가에 걸쳐 분업화된 구조,‘세계가 함께 만드는 조립라인’,국제무역 구조와 산업경쟁력 분석에 중요,단순 수입·수출 비중과 다름,반도체는 글로벌가치사슬의 핵심 산업이다.
,GVC,제품 생산 과정이 여러 국가에 걸쳐 분업화된 구조,‘세계가 함께 만드는 조립라인’,국제무역 구조와 산업경쟁력 분석에 중요,단순 수입·수출 비중과 다름,반도체는 글로벌가치사슬의 핵심 산업이다.
,글로벌금융안전망,국가 간 금융위기 시 자금 지원과 유동성 공급을 위한 국제적 협력체계,‘국제 금융의 안전벨트’,위기 발생 시 자본유출 방지 및 시장안정 유지,IMF나 통화스왑 등 다양한 수단으로 구성됨,한국은 다자간 통화스왑을 통해 글로벌금융안전망을 강화했다.
,금리선물,미래의 금리를 현재 시점에서 미리 거래하는 파생상품,‘미래 금리를 지금 고정하는 계약’,금리 변동 위험을 회피할 수 있는 수단,실제 금리 지급이 아닌 차익결제 중심,기업은 금리 상승에 대비해 금리선물로 헤지 전략을 사용한다.
,금리스왑,서로 다른 금리 조건의 이자지급을 교환하는 계약,‘이자율을 맞바꾸는 거래’,금리 리스크 관리와 자금조달비용 절감,원금 교환은 포함되지 않음,한 기업은 변동금리를 고정금리로 바꾸기 위해 금리스왑 계약을 체결했다.
,금리자유화,정부가 금리를 직접 규제하지 않고 시장의 수요·공급에 따라 결정되도록 하는 제도,‘금리에 자유를 준 정책’,금융시장 효율성 제고,초기에는 금리 급등 위험이 존재,한국은 1990년대 초 금리자유화를 단계적으로 시행했다.
,금리평가이론,두 국가 간 금리 차이가 환율 변동에 반영된다는 이론,‘금리의 나비효과가 환율로 번지는 원리’,국제자본 이동과 환율 결정 이해에 필수,단기 투기적 요인으로 실제와 다를 수 있음,금리평가이론에 따르면 금리가 높은 국가의 통화는 절하될 가능성이 있다.
,금본위제,화폐 가치를 금의 일정량에 고정한 통화제도,‘금으로 보증된 돈’,통화가치 안정과 신뢰 확보,금 보유량이 통화 공급을 제한,19세기 영국은 금본위제를 통해 국제무역의 신뢰를 확보했다.
,금산분리,금융자본과 산업자본의 상호 소유 및 지배를 제한하는 제도,‘돈 버는 곳과 쓰는 곳의 분리벽’,금융의 독립성과 산업의 공정경쟁 보장,규제가 과도하면 산업자본의 자금조달 어려움,한국은 은행의 대기업 지분 보유를 제한하는 금산분리 원칙을 적용하고 있다.
,금융 하부구조,"금융거래를 가능하게 하는 인프라로, 결제시스템·회계·법규 등을 포함",‘금융의 뼈대 구조’,금융시스템 안정과 신뢰성 확보의 기초,단순 IT시스템이 아닌 제도·법적 기반 포함,중앙은행의 결제망은 금융 하부구조의 핵심 요소다.
,금웅EDI,전자문서 교환을 통해 금융기관과 기업 간 자금결제를 자동화한 시스템,‘전자 송금의 산업용 버전’,기업 간 거래 효율성과 정확성 향상,인터넷뱅킹과는 다른 B2B용 시스템,대기업은 협력업체 대금을 금융EDI로 자동 결제한다.
,금융공황,금융기관의 대규모 부도와 신용경색으로 발생하는 경제위기,‘돈의 혈관이 막히는 상태’,경제 전반의 마비를 초래할 수 있음,단순 주가 폭락과는 다름,1930년대 대공황은 대표적인 금융공황 사례다.
,금융사이클,금융시장의 신용·자산가격이 장기적으로 상승과 하락을 반복하는 현상,‘금융의 파도’,경기 사이클보다 긴 변동주기로 시스템 리스크와 직결,경기순환과 동일하지 않음,금융사이클이 정점을 찍으면 자산버블 위험이 커진다.
,금융시스템 상호연계성,금융기관·시장 간 자금흐름이 서로 얽혀 있는 정도,‘거미줄처럼 연결된 자금망’,한 기관의 위기가 다른 곳으로 전이되는 경로 분석에 중요,연계성이 높다고 항상 위험한 것은 아님,2008년 위기 당시 글로벌 금융시스템의 상호연계성이 위기 확산을 키웠다.
,금융안정,금융시스템이 충격을 받아도 기능을 유지하는 상태,‘흔들려도 무너지지 않는 구조’,경제 전체의 지속 가능성 보장,물가안정과 다름 — 목표는 시스템 유지,중앙은행의 핵심 임무 중 하나는 금융안정이다.
,근융안정위원회,주요국 금융감독당국이 모여 금융안정 정책을 논의하는 국제기구,‘세계 금융 안전관리 협의체’,글로벌 시스템 리스크 감시,IMF나 BIS와 협력하는 비정치적 기구,FSB는 각국 금융안정위원회와 협력해 규제 일관성을 강화한다.
,FSB,주요국 금융감독당국이 모여 금융안정 정책을 논의하는 국제기구,‘세계 금융 안전관리 협의체’,글로벌 시스템 리스크 감시,IMF나 BIS와 협력하는 비정치적 기구,FSB는 각국 금융안정위원회와 협력해 규제 일관성을 강화한다.
,금융안정지수,금융시스템의 불안정 정도를 종합적으로 측정한 지표,‘금융의 체온계’,위기 가능성을 조기 진단하는 도구,주가·환율·금리 등 복합요소로 계산,금융안정지수가 급등하면 중앙은행은 유동성 공급을 검토한다.
,금융연관비율,금융부문이 실물경제와 얼마나 연계되어 있는지를 나타내는 비율,‘실물경제와 금융의 연결고리’,금융의 과잉팽창 또는 위축을 판단,높다고 항상 좋은 건 아님,금융연관비율이 높으면 실물충격이 금융으로 빠르게 전이된다.
,골드스미스비율,금융부문이 실물경제와 얼마나 연계되어 있는지를 나타내는 비율,‘실물경제와 금융의 연결고리’,금융의 과잉팽창 또는 위축을 판단,높다고 항상 좋은 건 아님,금융연관비율이 높으면 실물충격이 금융으로 빠르게 전이된다.
,금융의 증권화,대출채권 등 비유동자산을 유동화하여 증권 형태로 전환하는 과정,‘대출을 포장해 팔 수 있게 만드는 기술’,자금조달 다변화와 위험 분산,과도하면 부실자산 전이 위험,2008년 금융위기 원인 중 하나는 과도한 금융의 증권화였다.
,금융의 탈중개화,금융기관을 거치지 않고 자금공급자와 수요자가 직접 거래하는 현상,‘은행을 건너뛰는 거래’,자본시장의 효율성 제고,금융기관 역할이 줄지만 리스크 관리 필요,기업은 은행대출 대신 채권 발행으로 탈중개화했다.
